PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
4901681;429;1;MSM21-2
1900608;429;1;GMMC EGEE
5902311;429;1;SECARGO
1901184;429;1;GOODHOPE 2010
5902286;429;1;GMMC GOODHOPE 2009
5902314;429;1;MOCOSED-SEDIMAFO
3901973;429;1;Adriatic Sea
6900923;429;1;GOODHOPE 2010
6900697;429;1;GMMC CANOA
1901207;429;1;GOODHOPE 2010
1900607;429;1;GMMC EGEE
1900600;429;1;GMMC EGEE
6902579;429;1;PS88/3
6900406;429;1;GMMC OVIDE
6900398;429;1;GMMC OVIDE
6900397;429;1;GMMC OVIDE
6900396;429;1;GMMC OVIDE
6900395;429;1;GMMC OVIDE
1900610;429;1;GMMC EGEE
6900473;429;1;ANT XXV/1
6901887;429;1;November 2014 KRIPIS
6901883;429;1;n/a
6901585;429;1;n/a
6900230;429;1;ARGO SPAIN
1900615;429;1;GMMC EGEE
6900400;429;1;GMMC OVIDE
1900614;429;1;GMMC EGEE
1900611;429;1;GMMC EGEE
6900958;429;1;TV_ARVOR
6900475;429;1;ANT XXV/1
5902310;429;1;SECARGO
6900909;429;1;SPOT03
6900474;429;1;ANT XXV/1
1901212;429;1;M85/1
1900612;429;1;GMMC EGEE
6901696;429;1;Barcelona World Race
6900450;429;1;GMMC OVIDE
6900451;429;1;GMMC OVIDE
6901591;429;1;RARA AVIS
5902290;429;1;opportunité
1901196;429;1;TRACK 2010
6900696;429;1;GMMC CANOA
6900472;429;1;ANT XXV/1
6900727;429;1;GMMC GOODHOPE 2009
6902805;429;1;RREX
6900665;429;1;OPP BOUM
6902583;429;1;n/a
6901548;429;1;SANAE53
6900853;429;1;Cruise ANT_XVII/2
6900984;429;1;RARA AVIS Opportunity
1900921;429;1;GMMC GOODHOPE
1900922;429;1;GMMC GOODHOPE
1901210;429;1;M85/2
1900923;429;1;GMMC GOODHOPE
1900924;429;1;GMMC GOODHOPE
6901816;429;1;n/a
3901611;429;1;JRsouth
6900992;429;1;RARA AVIS Opportunity
1900919;429;1;GMMC GOODHOPE
1900928;429;1;GMMC GOODHOPE
1900929;429;1;GMMC GOODHOPE
6900854;429;1;Cruise ANT_XVII/2
6900857;429;1;Cruise ANT_XVII/2
6900855;429;1;Cruise ANT_XVII/2
1900930;429;1;GMMC GOODHOPE
1900918;429;1;GMMC GOODHOPE
1901349;429;1;80.2
6900695;429;1;GMMC CANOA
6901007;429;1;PIRATA FR22
6900718;429;1;PIRATA FR20
6900635;429;1;MIDAS
6900662;429;1;SOCIB ICTS
6901734;429;1;VSF 2015
6901009;429;1;PIRATA FR22
6900731;429;1;ANT-XXV-2
6900724;429;1;PIRATA FR20
6901251;429;1;ARGO SPAIN
6902768;429;1;TRANSIT TLN-PAP
1901176;429;1;GOODHOPE 2010
6901008;429;1;PIRATA FR22
3900532;429;1;GMMC FLOPS
3900533;429;1;GMMC FLOPS
6902647;429;1;MSM53
6900722;429;1;PIRATA FR20
6900634;429;1;ICM (CSIC)
6900716;429;1;GOODHOPE 2010
6901506;429;1;Opportunité VSF
6900723;429;1;PIRATA FR20
6900736;429;1;ANT-XXV-2
3900531;429;1;GMMC FLOPS
7900509;429;1;PS116
6901688;429;1;n/a
3900534;429;1;GMMC FLOPS
5902281;429;1;GMMC GOODHOPE 2009
1900849;429;1;MEDARGO
6900501;429;1;GMMC PROSAT
6901689;429;1;OISO
6901584;429;1;SANAE
