2902086	301	xxxxxxxxxxxxxxx	-1	-1	-1	1.06	20121229131700	88.724	12.116	20121229	99999999999999	0
2902087	301	xxxxxxxxxxxxxxx	-1	-1	-1	1.06	20121231055200	89.750	16.505	20121231	99999999999999	0
6901748	302	xxxxxxxxxxxxxxx	-1	-1	-1	1.08	20150204094200	4.849	43.308	20150204	20150223164220	0
6901749	303	xxxxxxxxxxxxxxx	-1	-1	-1	1.08	20150204093200	4.885	43.311	20150204	99999999999999	0
6902680	302	xxxxxxxxxxxxxxx	-1	-1	-1	1.08	20150701195200	-4.332	46.893	20150701	99999999999999	0
1901354	1001	121631	31	240	-1	1	20121015000000	-23.000	9.000	20121015	99999999999999	0
1901355	1001	121632	31	240	-1	1	20121015000000	-23.000	-2.000	20121015	99999999999999	0
3901090	1002	109114	31	240	-1	1	20111025193100	-47.999	-53.061	20111025	99999999999999	0
3901091	1002	109115	31	240	-1	1	20111220223000	-40.000	-57.000	20111220	99999999999999	0
6900835	1003	54989	31	240	-1	1	20100703192200	3.595	70.073	20100703	99999999999999	0
6900836	1003	54990	31	240	-1	1	20100702090300	4.083	70.002	20100702	99999999999999	0
6900746	1004	102294	31	240	-1	1	20101202084400	9.551	-41.973	20101202	99999999999999	0
6900747	1004	102369	31	240	-1	1	20101204174200	5.412	-46.132	20101204	99999999999999	0
6900789	1005	118186	31	240	-1	1	20121213125200	-15.500	29.010	20121213	99999999999999	0
6900803	1005	103241	31	120	-1	1	20110318064000	30.669	43.343	20110318	99999999999999	0
3901075	1006	89095	31	240	-1	1	20090202034600	-85.831	-10.000	20090202	99999999999999	0
3901076	1006	89100	31	240	-1	1	20090202035700	-85.831	-10.000	20090202	99999999999999	0
6900533	1007	133795	31	240	-1	1	20140404120000	-54.307	10.737	20140404	99999999999999	0
6900534	1007	133796	31	240	-1	1	20140407072100	-44.133	6.683	20140407	99999999999999	0
6900524	1008	83197	31	240	-1	1	20080424120000	-22.970	8.050	20080424	99999999999999	0
6900525	1008	83198	31	240	-1	1	20080426130000	-22.850	8.183	20080426	99999999999999	0
1901360	1009	133783	31	240	-1	1	20140623000000	-17.000	18.000	20140623	99999999999999	0
1901361	1009	133784	31	240	-1	1	20140623000000	-17.000	18.416	20140623	99999999999999	0
3901592	1010	158635	31	240	-1	1	20160424192800	-26.650	-4.990	20160424	99999999999999	0
3901593	1010	158636	31	240	-1	1	20160423152000	-27.379	-10.025	20160423	99999999999999	0
6901905	1011	130687	31	240	-1	1	20130722171500	-3.000	75.000	20130722	99999999999999	0
6901906	1011	130688	31	240	-1	1	20130723022000	-2.000	75.000	20130723	99999999999999	0
6901974	1012	131359	31	240	-1	1	20141212011100	0.000	-56.000	20141212	99999999999999	0
6901978	1012	36833	31	240	-1	1	20141022193800	-40.380	-27.200	20141022	99999999999999	0
6903174	2001	xxxxxxxxxxxxxxx	-1	240	12	-1	20151214103500	14.580	36.230	20151214	99999999999999	0
6903177	2001	xxxxxxxxxxxxxxx	-1	240	12	-1	20151002230500	1.994	40.815	20151002	99999999999999	0
6903178	2002	xxxxxxxxxxxxxxx	-1	240	12	-1	20151030140800	17.694	41.743	20151030	99999999999999	0
6903180	2002	xxxxxxxxxxxxxxx	-1	120	24	-1	20160531214245	12.076	41.333	20160531	99999999999999	0
